NAME,ADDRESS,AGE,SUB_MONTHS,MONTHLY_PAYMENT,USAGE_FEQ,STFT,CHURN
Ronald Torres,827 Powell Cove Suite 803_South Annaburgh  OH 78358,25,15,88.95,10,4,True
Edward Casey,1967 Booker Shoal Suite 317_Port Kathryn  SC 73351,52,40,67.37,5,1,False
Jeremy Phelps,3454 Henry Roads_Alexburgh  HI 75887,45,104,30.23,7,4,False
Jason Jackson,28121 Michael Throughway_Bryantland  MN 93092,24,76,71.97,19,1,True
Jennifer Mack,20863 Mitchell Ports Apt. 300_East Steven  MD 83598,48,71,10.76,28,3,True
Kyle Kerr,5129 Luis Ramp_Lake Hunter  OR 50178,20,106,98.68,25,5,True
Dennis Hess,145 Morris Bypass Suite 639_Garychester  WY 72196,58,43,33.63,2,2,True
Kayla Huang,3142 Manuel Valleys Apt. 913_Lake Rhonda  VT 93580,39,80,36.16,17,1,False
Tina Williams,PSC 0277  Box 5902_APO AA 19552,32,7,57.92,24,2,False
Whitney Martin,898 Lindsey Radial_Christineborough  GU 61181,22,21,74.67,3,5,False
Jason Atkinson,46032 Pugh Gardens_New Michelle  DE 74586,34,87,58.68,22,3,False
Jon Coleman,Unit 5938 Box 0832_DPO AE 78406,38,80,57.59,7,4,False
Meredith Adams,3661 Stanley Mall_West Philipfort  MI 19967,31,17,80.09,12,1,True
John Bowers,89810 Castro Loop_East Brittanyborough  OK 63806,24,110,83.9,15,1,True
Karen Neal,592 Singh Spur Apt. 845_North Clairemouth  UT 67734,27,28,53.26,1,1,False
William Benson,37637 Schultz Squares Suite 455_New Stephenville  AZ 66767,33,66,21.55,10,2,True
Sylvia Golden,966 Shannon Mews Apt. 365_East Erik  MS 55484,38,93,88.2,23,1,True
Matthew Myers,3719 Scott Manors Suite 702_Bauertown  CT 89186,50,84,32.97,27,4,False
Andrew Daniels,65829 Brittany Route Suite 634_Colemanfurt  MN 41159,57,42,49.59,16,5,False
Mark Perry,7147 Miller Trail_Jenniferstad  MA 15953,51,59,26.44,12,3,True
Sarah Rivas,666 Cooper Extension Apt. 332_Port Thomasland  OK 04573,53,9,73.41,10,1,False
Sean Graves,1517 Cheryl Skyway_Whiteheadshire  VA 83718,22,80,70.5,7,2,False
Ryan Mitchell,50163 Bradley Spurs Suite 531_New Jonathantown  IN 76980,22,32,79.37,29,1,False
Eric Adams,358 Nancy Via_West Johntown  ND 66480,54,23,72.23,13,2,False
Roger Pearson,102 Ashley Bypass_Port Lisa  RI 41812,30,89,98.56,18,5,False
Emily Pratt,70901 Christopher Path_Nortonfort  WY 70771,59,20,81.5,29,1,True
Anne Gonzalez,131 Morales Centers Apt. 796_Lake Albertbury  GU 35044,19,118,85.23,2,1,True
Omar Rose,Unit 9471 Box 3543_DPO AP 91479,59,49,74.23,1,3,True
Kelly Christian,70990 Brown Ville_Angelborough  AS 41196,30,67,14.48,12,2,True
Joseph Washington,434 Smith Valley Suite 458_New Denise  HI 11934,25,17,81.75,18,5,False
Richard Nixon,9667 Taylor Stravenue_Robertburgh  FL 70685,54,73,91.79,6,1,True
David Olsen,592 Campos Ford_Perezborough  GU 69863,44,102,57.25,1,4,False
Mr. Michael Dudley,4067 Webb Way_South Brianaburgh  AL 25559,57,102,50.06,15,5,False
Elizabeth Rubio,PSC 5708  Box 8263_APO AA 67173,53,47,81.2,28,5,False
Matthew Stevens,66459 Campbell Avenue_Lake Joseph  CA 46910,38,21,14.3,22,3,True
Christopher Johnson,12529 Margaret Vista_West Phillipbury  AS 02313,47,37,14.04,17,4,False
Michael Peterson,379 Douglas Stravenue_Hoffmanside  CA 08889,39,69,85.1,8,2,False
Jeff Walker,8265 Hancock Ramp Apt. 099_Mallorystad  IA 46162,47,70,22.86,10,4,False
Richard Rangel,5971 Simpson Causeway_Reedmouth  WV 81894,47,15,30.91,23,4,False
Kelly Martin,206 Elizabeth Court Suite 723_West Angela  WY 44651,26,69,22.27,10,3,False
Cheryl Meyer,Unit 9140 Box 9212_DPO AP 70345,54,46,34.98,8,2,False
Melissa Jimenez,1162 Knapp Parkways_Lake Cherylborough  NH 61387,23,40,60.43,26,3,False
Jennifer Curtis,PSC 4569  Box 1542_APO AP 14561,35,49,22.2,28,5,False
Richard Anderson,824 Jeanette Meadows_Lake Tanner  TX 12110,29,46,99.31,26,2,False
Sherry Brady,050 John Rapid Suite 093_North Lance  MH 39049,35,16,99.43,1,4,False
Robert Carter,25890 Phillips Harbors_Richardbury  NC 22958,30,42,51.82,12,4,False
James Baldwin,63022 Kimberly Greens_Lisaborough  NV 07101,36,120,94.06,4,1,False
Anthony Turner,93459 Rose Island Apt. 184_East Kathryn  CT 86402,55,115,82.53,6,1,False
Shirley Johnson,79974 Christine Mountains Apt. 790_Jonathanmouth  VT 55632,39,39,54.07,30,3,False
Deborah Oliver,459 Kimberly Pines_Martinezbury  WY 56899,42,115,51.18,22,3,False
Victoria White,900 Amber Green_North Matthewtown  NH 86263,31,118,63.97,30,1,False
Kayla Rivera,631 Chambers Vista_Melissachester  MA 20273,20,80,50.94,1,4,False
Bobby Collins,659 Melissa Falls Suite 178_Ryanside  DC 13429,24,14,53.78,13,3,False
Matthew Clark,Unit 5396 Box 4386_DPO AP 11565,19,55,88.92,4,5,False
Mary Patton,575 Michael Walk_North Michael  AS 54886,35,18,80.85,16,4,False
David Rocha,02525 Hudson Pine Apt. 770_Lake Samuelhaven  WA 04640,34,45,93.79,8,3,False
Jeremy Rodriguez,21719 Harvey Motorway Apt. 668_Port Mariachester  MN 31466,60,97,46.54,28,3,True
Angel White,9357 Davis Lane_South Ruthton  AZ 65477,25,19,85.96,3,1,False
Kristina Anderson,95962 Hailey Mill_Brockburgh  AR 80755,35,10,22.97,17,5,False
Monica Villegas,2217 Garcia Tunnel_Lisaport  IN 35959,46,20,13.88,11,3,False
Jamie Thomas,57939 Richardson Underpass_West Kennethview  MN 01479,19,11,77.4,20,5,False
Jason Washington,688 Todd Cliffs_South Rebekah  PW 12776,25,89,56.08,5,4,False
Dylan Buchanan,472 Hannah Harbor_Allisonville  ND 08111,35,16,50.47,17,4,True
Victoria English,Unit 8803 Box 1356_DPO AP 04642,47,57,57.31,19,5,False
Elizabeth Sandoval,149 Nelson Parks_South Bethside  VI 08866,40,44,92.96,16,2,False
Latoya Daniel,83456 Ryan Plains Suite 703_Port Josephberg  WY 45181,19,54,85.43,8,3,False
Christopher Turner,9274 Michael Courts Suite 919_Ericville  GA 10097,57,32,56.71,17,1,True
Jillian Howard,279 Steven Cliffs Apt. 819_Judithstad  DC 68074,47,12,16.83,20,3,True
Steven Morgan,419 Watts Island_Bradleyfort  MN 89131,55,34,54.46,17,1,True
Cynthia Burgess,76946 Gonzalez Green Suite 177_Ambertown  OR 56103,34,2,86.04,29,2,False
Kimberly Williams,029 Rodriguez Groves Suite 567_Lake Sandra  CT 45116,54,62,21.77,25,1,False
Daniel James,67372 Taylor Points Suite 819_North Lisastad  HI 89598,38,44,12.79,25,4,False
Ryan Strickland,3025 White Streets_Matthewport  MO 17752,40,87,84.27,8,3,False
Dale Brown DDS,41794 Katrina View_East Andrewview  NV 72771,60,53,93.48,2,1,False
Ashley Alvarado,USS Smith_FPO AA 33499,28,13,12.97,10,2,False
Jessica Hammond,30780 Medina Pike Apt. 553_Lake Tinaton  KS 01267,58,92,32.04,19,3,False
Timothy Johnson,3754 Brooks Valleys_South Anne  RI 56734,38,79,55.88,26,5,True
Gerald Anderson,8886 Michelle Motorway_Yolandamouth  IL 22344,35,18,55.12,28,2,True
Patricia Dixon,06882 Oconnell Curve_West Dennis  WV 64767,45,64,19.65,22,3,False
Timothy Campbell,392 Brandon Springs_North Jaclyn  RI 87094,27,27,80.51,22,1,False
William Wilson,2134 Phillips Lock Apt. 938_Sydneymouth  WV 71170,36,43,72.37,7,2,False
Daniel Castillo,52422 Jack Trail Apt. 264_Wallland  KS 99801,21,82,44.48,18,1,False
Robert Parsons,55495 Melissa Pike Suite 977_Sweeneyfort  NJ 47942,36,71,52.31,21,4,False
Carla James,4088 Stanley Station Suite 273_South Savannah  NY 27565,37,97,11.99,21,1,True
Mary Harding,34455 Rebecca Ways Suite 963_Port Robertchester  AS 83251,46,110,77.06,15,5,True
Chris Bowen,73831 Farmer Causeway_South Jennifertown  NH 91311,57,46,74.54,21,4,False
Christopher White,795 Hall Lane Apt. 705_Carpenterside  AL 20620,39,72,31.02,14,2,False
Jennifer Lowe,069 Stewart Valley_South Monique  NM 06369,37,6,60.05,10,5,False
Chelsea Robinson,437 Zachary Trail Suite 841_East Wendychester  GA 26561,37,106,46.67,8,2,False
Summer Jones,846 Grant Radial Suite 859_Lake Saraside  MT 08312,36,101,83.07,3,4,False
Joshua George,573 Douglas Roads Apt. 447_West Christopherbury  KS 76652,21,13,23.9,24,2,True
Ralph Perez,07639 Matthew Grove Suite 831_North Vincent  ME 85981,21,1,81.6,22,5,False
Jared Fields,256 Robbins Shores_Sandraburgh  AS 98378,38,109,57.67,26,2,False
Patricia Palmer,7289 Jackson Flat_North Marie  TX 82278,22,42,25.24,13,3,False
Rebecca Blevins,17813 Horton Via_Farmerburgh  WI 40075,46,30,13.1,30,4,False
Becky Walker,7397 Johnson Landing_Port Craigburgh  MP 58337,31,52,53.27,24,1,False
James Johnson,20988 Lawson Walks_New Miranda  MP 44208,60,56,33.69,12,2,False
Deborah Jones,919 Darlene Motorway_Lake Wendy  CA 13770,22,52,80.27,6,3,True
Rachel Parks,8502 Julie Vista_South Christopherfort  AL 25573,52,98,28.86,19,5,False
Jason Shannon,58693 Robinson Point Apt. 133_Escobarborough  UT 88932,34,24,35.92,11,1,True
Maria Campos,PSC 7098  Box 5816_APO AE 36293,30,91,85.17,13,4,False
Patricia Barker,288 Elizabeth Point_Lake Amberville  DE 45541,59,119,31.02,6,3,False
Laura Williams,473 Farrell Motorway_East Julie  IN 83710,22,58,52.99,9,1,False
Laurie Parker,014 Daniel Port Suite 888_East Joanna  IL 84722,35,81,50.02,21,5,False
Lisa Pruitt,9084 James Overpass Apt. 181_Timothychester  CA 69208,32,72,24.79,26,2,True
Travis Barrett,684 Chelsea Plains_Port Michael  TN 87645,41,40,63.98,26,1,False
Carla Fleming,103 Reed Mall Apt. 361_Lewisfort  VT 84233,35,1,25.5,20,5,True
John Davis,12463 Martinez Prairie Apt. 127_West Bethany  MP 54553,20,32,39.72,29,5,False
Kathleen Garrett,80352 Mendoza Light_Haleshire  NH 54869,24,79,97.33,30,3,False
Rick Garza,495 Roger Vista_West Emily  OR 57362,22,109,52.44,25,4,False
Kenneth Williams,PSC 5692  Box 9370_APO AP 24712,30,73,90.59,8,4,False
Joshua Martinez,9159 Jones Locks Suite 637_Kennedyport  AL 36938,54,42,17.49,1,3,True
Joseph Johnson,308 Woods Groves_Kristenstad  CA 15719,54,77,69.07,15,3,False
Alyssa Bauer,USCGC Gonzalez_FPO AA 44147,22,106,45.83,4,2,True
Kimberly Moore,1794 Boyd Islands Suite 033_New Margaretberg  MA 84309,38,50,48.06,7,2,True
William Gutierrez,2731 Selena Plain_New Laura  AS 05825,20,71,52.19,17,2,False
Johnny Montgomery,128 Kathleen Prairie Apt. 774_Holmesfort  AL 63235,60,74,97.62,20,2,True
Linda Lopez,78813 Christopher Forge_South Aaron  MN 43046,60,53,39.85,12,1,True
Charles Christensen,6946 Benjamin Flat_Lake Kellyport  NY 05011,46,63,81.52,11,4,False
Veronica Craig,45329 Bean Keys Suite 827_Aliciashire  CT 42283,27,112,55.14,20,1,False
Peggy Williams,91515 Simmons Square Apt. 037_Port Rebecca  LA 53160,38,90,47.6,2,5,True
Renee Williams,434 Riley Trace_Thomasshire  GU 09211,52,70,18.01,12,3,False
Kyle Huber,244 Nelson Ways Suite 401_New John  UT 76306,58,5,29.59,2,5,False
Jamie Chavez,887 Hall Trafficway_Shannonhaven  VT 38398,21,86,10.79,23,3,False
Daniel Hawkins,775 John Loaf_Walkerport  NM 71500,60,110,15.03,16,3,False
Vincent Patterson,Unit 7165 Box 3923_DPO AP 80165,56,8,34.59,22,5,False
Michael Zimmerman,899 Ward Gardens Suite 803_Benjaminmouth  WI 91013,51,20,11.11,12,2,True
Andre Wallace,65980 Alex Alley_West Stevenland  NE 60712,28,56,12.72,9,2,False
Nicole Bowman,22805 Lori Spur Suite 904_East Meghan  WA 15357,32,120,79.6,30,5,False
Laura Powell,7072 Webb Street_Lake Patriciamouth  LA 64191,31,17,68.65,8,5,False
Travis Hartman,77312 Amber Wall_Jamiestad  AK 99309,54,114,24.08,15,1,False
Elizabeth Munoz,3937 Mary Mews Apt. 695_Kelseyport  NM 81200,22,15,85.27,18,2,False
Martin Davis,017 Omar Lakes Apt. 940_Lake Mario  NJ 13745,33,28,64.13,27,2,False
Meagan Savage,465 Woods Radial_Turnerborough  HI 93371,34,110,89.44,25,2,True
Douglas Bishop,55876 Brenda Underpass_South Rebecca  GA 38609,32,81,21.31,10,3,True
Deanna Carter,214 William Hollow_Diazport  RI 35090,33,106,26.05,20,5,False
Michael Howe,8427 Long Landing Apt. 919_West Laurie  HI 93447,38,5,23.2,29,4,False
Jennifer Kramer,874 Cook Plaza Apt. 040_Adrianville  NE 72330,33,52,94.28,28,2,True
Robert White,806 Rachel Curve Apt. 269_Trujilloville  PW 40310,60,105,27.37,16,1,False
Jose Hall,35681 Renee Place_Johnsonton  VT 72419,58,72,34.44,12,1,True
Tyler Ward,817 Rogers Mews_New Alyssa  GA 69179,34,48,72.85,4,2,False
Jacqueline Garcia,318 Wright Passage_New Kathleen  PW 69148,43,6,66.59,13,1,False
Brittney Henry,734 Schmidt Trail_Jefferyfurt  VA 08759,22,110,86.54,30,1,False
Amy Leach,39525 Jacob Green_New Darren  OR 44770,34,2,74.51,18,2,False
Jacob Dodson,7143 Stephen Plains Apt. 952_Jasonmouth  MH 59341,54,4,65.55,16,2,False
Rhonda Church,6022 Kenneth Lodge Suite 157_Rodrigueztown  ND 30753,21,119,47.99,17,3,False
Keith Rodriguez,06649 Melanie Skyway_Watsonberg  FM 77332,55,23,42.26,24,3,False
Dustin Bowman,Unit 8013 Box 0814_DPO AP 58780,42,96,17.93,18,5,False
Jonathan Lee,19088 Holmes Well Apt. 754_New Sophia  NY 62641,52,45,89.73,26,3,False
Brian Mason,31949 Obrien Estates Suite 346_Mirandachester  NY 58354,24,26,74.81,22,4,False
Christopher Patel,64873 Jacob Alley_Michaelside  VA 32395,47,95,52.43,16,1,True
Amanda Williams,3690 Perkins Streets_New David  OR 23770,26,41,47.75,27,4,False
Keith Rogers,73417 Singh Radial Suite 555_East Danielle  FL 44295,20,110,36.3,13,2,False
Joshua Frazier,48118 Young Keys_South Christopher  GA 72917,59,95,27.63,9,5,True
Joshua White,7887 James Fields_New Renee  WY 11240,39,17,29.23,15,4,False
Robin Rocha,USNV Mckinney_FPO AE 55773,33,92,29.01,8,1,False
Robin Allison,64951 Moore Common_Lake Shannon  TX 46349,34,98,31.38,1,5,False
Veronica Jackson,4974 Brennan Camp_New Kellymouth  NM 58831,48,21,99.06,24,5,True
Lori Stein,410 Lee Light Apt. 621_Stephenhaven  HI 75240,44,115,46.84,21,3,False
Sherry Garcia,5477 Christina Falls Apt. 841_West Marissaside  RI 94260,24,62,71.89,16,5,False
Douglas Burns,049 Lauren Avenue_Jordanside  IN 81039,30,17,38.09,20,5,False
Edwin Anderson,143 Gonzalez Trail_Margaretchester  VI 66767,38,19,99.38,4,1,False
Sharon Richardson,3975 Hayden Gateway Suite 914_Christophermouth  MA 15575,20,108,98.8,12,5,True
Theresa Rios,06987 Jonathan Square_Lake Melissa  MS 40070,49,5,31.86,5,4,False
Jonathan Freeman,1194 Trujillo Fork Suite 425_Thomasstad  IA 96485,34,15,79.83,2,3,False
Michelle Lopez,097 Greg Creek Apt. 584_Lake Susanmouth  ND 33101,37,60,49.1,7,1,False
Brian Reed,PSC 6822  Box 8220_APO AA 30653,49,54,67.87,16,1,False
Amanda Gomez,856 Hamilton Land_Jillbury  MT 32009,20,63,30.49,4,5,False
Veronica Mayo,6841 Blair Fields_New Jorge  MS 43171,43,4,67.21,29,4,False
Catherine Hess,631 Webster Wells Apt. 249_Markfort  AK 52948,44,19,56.0,30,4,False
Michael Estrada,8203 Page Grove Suite 220_North Bonnie  DE 18127,49,59,92.29,4,1,False
Terry Garcia,63877 Perkins Oval Apt. 247_Delgadobury  WV 60461,21,73,35.14,23,2,False
Kenneth Brown,691 Maxwell Parks Suite 429_Jonesville  PW 51822,33,58,51.67,5,2,False
Peter Luna,0632 Sherry Way_New Andrewmouth  MN 82150,22,52,73.06,21,3,False
Michael Anderson,15891 Ashley Gardens_Gutierrezbury  FM 37824,43,113,43.69,24,1,False
Mariah Wright,PSC 9777  Box 6369_APO AP 69252,51,8,68.45,23,5,False
Casey Smith,340 Cynthia Harbors_Erikberg  WV 99465,22,115,51.74,28,4,False
Kristin Hubbard,295 Walker Court_Brownburgh  IA 01002,41,64,22.11,17,4,False
Victoria Johnson,10898 Shelby Harbor_Reginaville  TN 45927,23,70,22.56,4,5,False
Erika Owens,974 Chad Crest_Wolfeview  FL 75440,43,90,15.75,25,5,False
Kaitlyn Sullivan,22505 Maria Prairie_New Mark  PR 33537,53,69,33.49,9,3,True
Craig Roberts,72878 Velez Alley Suite 740_Hannahchester  WA 93118,58,39,36.13,5,2,True
William Clements,99101 Gina Locks Apt. 826_Port Josephhaven  OH 22208,29,69,64.53,22,3,False
Michael Anderson,USCGC Goodman_FPO AP 87521,33,105,64.31,21,3,False
Elizabeth Campbell,USCGC Lopez_FPO AE 36952,30,22,46.2,13,2,False
Melissa Martinez PhD,546 Coleman Crest Apt. 721_North Melissa  OK 72438,58,57,22.26,26,3,False
Daniel Anderson,4930 Brian Highway Apt. 477_Rebeccatown  ND 18368,26,59,33.01,10,2,True
Gregory Allen,1703 Lewis Square_Port Sydneyville  AZ 78863,58,38,60.9,17,4,False
Teresa Garrison,754 Kaitlyn Avenue_Cynthiaview  VI 05681,39,82,53.57,10,5,True
April Small,273 King Flat_New Stephanieville  NV 39141,54,72,40.82,17,5,False
Paula Taylor,82462 Mitchell Cape Apt. 615_Richardsville  CT 91589,52,72,10.02,15,4,False
